Date,Time,Open,High,Low,Close,Volume
04-01-2023,14:15,10080.77,10109.2,10077.42,10096.05,16458
04-01-2023,14:30,10096.05,10099.59,10087.42,10087.82,49937
04-01-2023,14:45,10087.82,10094.02,10081.34,10091.88,37581
04-01-2023,15:00,10091.88,10103.13,10082.81,10094.31,35451
04-01-2023,15:15,10094.31,10099.97,10093.94,10099.51,37325
04-01-2023,15:30,10099.51,10101.57,10087.13,10089.54,48914
05-01-2023,09:15,10106.66,10107.51,10102.03,10105.65,49062
05-01-2023,09:30,10105.65,10107.26,10077.18,10084.33,34307
05-01-2023,09:45,10084.33,10096.64,10082.05,10093.23,14513
05-01-2023,10:00,10093.23,10100.77,10086.97,10087.91,36421
05-01-2023,10:15,10087.91,10091.12,10072.2,10078.75,29900
05-01-2023,10:30,10078.75,10091.16,10078.02,10089.48,5990
05-01-2023,10:45,10089.48,10099.05,10086.52,10097.38,28588
05-01-2023,11:00,10097.38,10105.62,10091.92,10104.62,22623
05-01-2023,11:15,10104.62,10138.32,10103.76,10129.1,22296
05-01-2023,11:30,10129.1,10129.23,10119.34,10120.27,40477
05-01-2023,11:45,10120.27,10122.51,10118.88,10122.44,11797
05-01-2023,12:00,10122.44,10126.43,10096.4,10098.87,41079
05-01-2023,12:15,10098.87,10108.97,10096.76,10102.33,3416
05-01-2023,12:30,10102.33,10130.18,10091.4,10125.19,31241
05-01-2023,12:45,10125.19,10128.25,10110.6,10113.86,36873
05-01-2023,13:00,10113.86,10116.67,10087.29,10094,48450
05-01-2023,13:15,10094,10096.49,10088.16,10089.64,17076
05-01-2023,13:30,10089.64,10089.67,10072.78,10076.37,7202
05-01-2023,13:45,10076.37,10083.98,10064.95,10065.73,12166
05-01-2023,14:00,10065.73,10076.44,10062.13,10075.15,21299
05-01-2023,14:15,10075.15,10081.96,10072.62,10074.87,19424
05-01-2023,14:30,10074.87,10086.48,10044.77,10050.22,32744
05-01-2023,14:45,10050.22,10054.42,10048.56,10049.39,3082
05-01-2023,15:00,10049.39,10072.05,10040.74,10063.61,46082
05-01-2023,15:15,10063.61,10065.26,10059.74,10063.91,28880
05-01-2023,15:30,10063.91,10065.76,10053.92,10057.01,25360
06-01-2023,09:15,10141.12,10174.46,10139.44,10173.37,42635
06-01-2023,09:30,10173.37,10185.9,10168.54,10177.95,39546
06-01-2023,09:45,10177.95,10180.67,10175.25,10176.16,1671
06-01-2023,10:00,10176.16,10192.09,10173.85,10186.1,24746
06-01-2023,10:15,10186.1,10197.01,10182.15,10196.55,16320
06-01-2023,10:30,10196.55,10201.11,10181.88,10182.01,38355
06-01-2023,10:45,10182.01,10202.25,10180.04,10194.86,7065
06-01-2023,11:00,10194.86,10196.46,10191.28,10192.41,27091
06-01-2023,11:15,10192.41,10200.13,10190.59,10198.99,24795
06-01-2023,11:30,10198.99,10204.82,10191.57,10201.25,6603
06-01-2023,11:45,10201.25,10221.55,10201.08,10221.04,7100
06-01-2023,12:00,10221.04,10244.83,10213.37,10239.57,15268
06-01-2023,12:15,10239.57,10248.29,10229.99,10230.51,12170
06-01-2023,12:30,10230.51,10230.57,10208.09,10210.97,17434
06-01-2023,12:45,10210.97,10212.96,10207.98,10212.18,42244
06-01-2023,13:00,10212.18,10216.72,10205.33,10207.25,24219
06-01-2023,13:15,10207.25,10217.76,10206.08,10216.74,48538
06-01-2023,13:30,10216.74,10224.06,10216.4,10223,34324
06-01-2023,13:45,10223,10233.78,10221.82,10225.77,9900
06-01-2023,14:00,10225.77,10227.85,10222.25,10223.29,19926
06-01-2023,14:15,10223.29,10223.66,10211.41,10213.56,27635
06-01-2023,14:30,10213.56,10215.81,10208.93,10211.5,14125
06-01-2023,14:45,10211.5,10231.26,10207.71,10226.05,24399
06-01-2023,15:00,10226.05,10236.52,10219.86,10232.33,29792
06-01-2023,15:15,10232.33,10241.16,10230.09,10238.09,25769
06-01-2023,15:30,10238.09,10243.38,10220.63,10224.32,17624
09-01-2023,09:15,10200.12,10223.04,10196.66,10217.74,42229
09-01-2023,09:30,10217.74,10225.55,10206.54,10213.28,35692
09-01-2023,09:45,10213.28,10225.23,10211.79,10223.25,15055
09-01-2023,10:00,10223.25,10227.33,10220.05,10223.65,24637
09-01-2023,10:15,10223.65,10233.93,10218.63,10229.96,10048
09-01-2023,10:30,10229.96,10266.85,10226.81,10258.96,10907
09-01-2023,10:45,10258.96,10273.17,10252.62,10267.47,12584
09-01-2023,11:00,10267.47,10271.54,10246.47,10246.59,18413
09-01-2023,11:15,10246.59,10246.99,10241.97,10244.46,3505
09-01-2023,11:30,10244.46,10244.76,10220.91,10229.17,43859
09-01-2023,11:45,10229.17,10239.69,10221.72,10238.88,36400
09-01-2023,12:00,10238.88,10239.7,10236.7,10238.68,16015
09-01-2023,12:15,10238.68,10246.2,10238.53,10242.95,27367
09-01-2023,12:30,10242.95,10249.11,10242.34,10247.38,20336
09-01-2023,12:45,10247.38,10250.77,10244.65,10249.91,13858
09-01-2023,13:00,10249.91,10276.8,10248.8,10266.41,43153
09-01-2023,13:15,10266.41,10274.63,10265.33,10267.94,45945
09-01-2023,13:30,10267.94,10277.59,10265.58,10272.1,35773
09-01-2023,13:45,10272.1,10277.7,10251.97,10255.55,12585
09-01-2023,14:00,10255.55,10262.83,10253.63,10262.73,38280
09-01-2023,14:15,10262.73,10269.13,10240.7,10251.69,22772
09-01-2023,14:30,10251.69,10253.45,10236.25,10237.81,35289
09-01-2023,14:45,10237.81,10242.2,10236.74,10236.79,40723
09-01-2023,15:00,10236.79,10240.81,10211.38,10216.41,24321
09-01-2023,15:15,10216.41,10223.17,10207.56,10207.9,30696
09-01-2023,15:30,10207.9,10213.15,10195.11,10201.71,8140
10-01-2023,09:15,10255.63,10284.98,10252.08,10280.6,7588
10-01-2023,09:30,10280.6,10284.59,10279.6,10283.54,18576
10-01-2023,09:45,10283.54,10288.71,10281.47,10286.28,28827
10-01-2023,10:00,10286.28,10290.91,10285.55,10286.84,46767
10-01-2023,10:15,10286.84,10288.79,10266.3,10271.11,10586
10-01-2023,10:30,10271.11,10278.61,10267.53,10270.54,6888
10-01-2023,10:45,10270.54,10275.91,10263.31,10274.76,33702
10-01-2023,11:00,10274.76,10280.11,10270.99,10275.89,3956
10-01-2023,11:15,10275.89,10292.12,10275.03,10287.97,26580
10-01-2023,11:30,10287.97,10288.43,10272.76,10276.71,39673
10-01-2023,11:45,10276.71,10288.42,10270.2,10282.62,33162
10-01-2023,12:00,10282.62,10295.14,10279.49,10292.21,38580
10-01-2023,12:15,10292.21,10293.73,10290.96,10292.02,26565
10-01-2023,12:30,10292.02,10296.03,10283.81,10285.03,5629
10-01-2023,12:45,10285.03,10287.74,10281.13,10284.34,21386
10-01-2023,13:00,10284.34,10317.08,10278.16,10310.6,30748
10-01-2023,13:15,10310.6,10317.02,10303.05,10307.09,24531
10-01-2023,13:30,10307.09,10317,10301.37,10311.98,49162
10-01-2023,13:45,10311.98,10320.77,10308.82,10318.72,22320
10-01-2023,14:00,10318.72,10322.04,10300.36,10303.82,15838
10-01-2023,14:15,10303.82,10309.73,10296.11,10298.18,16436
10-01-2023,14:30,10298.18,10298.62,10279.84,10280.8,46308
10-01-2023,14:45,10280.8,10282.65,10256.08,10259.26,44671
10-01-2023,15:00,10259.26,10271.91,10258.29,10266.93,21685
10-01-2023,15:15,10266.93,10275.17,10264.88,10269.6,31706
10-01-2023,15:30,10269.6,10282.62,10265.84,10275.02,17913
11-01-2023,09:15,10276.98,10286.14,10267.41,10285.8,36428
11-01-2023,09:30,10285.8,10289.45,10278.07,10284.58,26788
11-01-2023,09:45,10284.58,10295.86,10282,10290.73,29285
11-01-2023,10:00,10290.73,10310.4,10289.22,10298.84,9583
11-01-2023,10:15,10298.84,10304.01,10291.14,10291.25,45321
11-01-2023,10:30,10291.25,10310.02,10288.85,10302.81,39765
11-01-2023,10:45,10302.81,10303.77,10285.63,10288.53,16875
11-01-2023,11:00,10288.53,10298.08,10284.99,10295.52,28255
11-01-2023,11:15,10295.52,10301.89,10291.85,10299.1,32343
11-01-2023,11:30,10299.1,10300.44,10279.57,10284.74,11514
11-01-2023,11:45,10284.74,10296.17,10279.88,10291.35,28320
11-01-2023,12:00,10291.35,10303.03,10285.87,10299.57,27867
11-01-2023,12:15,10299.57,10307.66,10286.16,10295.03,33386
11-01-2023,12:30,10295.03,10307.92,10288.31,10306.09,3569
11-01-2023,12:45,10306.09,10316.23,10302.85,10315.9,4090
11-01-2023,13:00,10315.9,10324.32,10313.47,10324.23,21790
11-01-2023,13:15,10324.23,10345.74,10323.09,10336.46,3891
11-01-2023,13:30,10336.46,10343.48,10336.44,10340.55,35794
11-01-2023,13:45,10340.55,10356.72,10337.54,10355.15,37280
11-01-2023,14:00,10355.15,10357.91,10341.6,10342.03,25865
11-01-2023,14:15,10342.03,10349.92,10327.37,10333.18,36383
11-01-2023,14:30,10333.18,10336.47,10315.68,10316.66,49009
11-01-2023,14:45,10316.66,10323.53,10312.86,10313.76,25037
11-01-2023,15:00,10313.76,10318.57,10306.92,10318.13,8142
11-01-2023,15:15,10318.13,10325.35,10317.8,10322.95,23287
11-01-2023,15:30,10322.95,10328.53,10295.55,10305.05,42822
12-01-2023,09:15,10353.28,10374.71,10345.66,10370.79,44683
12-01-2023,09:30,10370.79,10382.62,10365.82,10371.5,27995
12-01-2023,09:45,10371.5,10376.58,10363.78,10374.92,36785
12-01-2023,10:00,10374.92,10375.9,10342.02,10348.26,6408
12-01-2023,10:15,10348.26,10359.05,10343.01,10348.99,33807
12-01-2023,10:30,10348.99,10349.57,10339.64,10347.32,44603
12-01-2023,10:45,10347.32,10351.21,10345.37,10349.55,35433
12-01-2023,11:00,10349.55,10354.41,10341.93,10346.73,17565
12-01-2023,11:15,10346.73,10357.01,10329.95,10333.98,2869
12-01-2023,11:30,10333.98,10348.33,10331.07,10348.16,24308
12-01-2023,11:45,10348.16,10353.57,10331.1,10334.41,27157
12-01-2023,12:00,10334.41,10338.44,10328.52,10329.39,2663
12-01-2023,12:15,10329.39,10347.82,10328.23,10347.58,34181
12-01-2023,12:30,10347.58,10351.63,10331.54,10339.73,1909
12-01-2023,12:45,10339.73,10346.15,10322.04,10324.03,7240
12-01-2023,13:00,10324.03,10332.38,10316.94,10331.42,2299
12-01-2023,13:15,10331.42,10346.25,10330.75,10342.39,40071
12-01-2023,13:30,10342.39,10343.56,10292.09,10297.14,13060
12-01-2023,13:45,10297.14,10301.53,10272.02,10277.78,3121
12-01-2023,14:00,10277.78,10285.51,10272.3,10279.07,24041
12-01-2023,14:15,10279.07,10294.64,10278.59,10288.59,1151
12-01-2023,14:30,10288.59,10295.99,10262.95,10266.38,6425
12-01-2023,14:45,10266.38,10266.9,10237.82,10238.99,38557
12-01-2023,15:00,10238.99,10245.73,10231.37,10238.16,43226
12-01-2023,15:15,10238.16,10244.23,10223.98,10226.03,44073
12-01-2023,15:30,10226.03,10246.58,10223.05,10240.56,5930
13-01-2023,09:15,10242.29,10258.1,10234.63,10252.13,6999
13-01-2023,09:30,10252.13,10261.11,10245.07,10245.97,7212
13-01-2023,09:45,10245.97,10248.04,10240.56,10244,49443
13-01-2023,10:00,10244,10254.8,10242.84,10245.67,2174
13-01-2023,10:15,10245.67,10250.46,10242.37,10250.2,45126
13-01-2023,10:30,10250.2,10259.21,10249.81,10253.5,41191
13-01-2023,10:45,10253.5,10267.52,10244.36,10266.94,48585
13-01-2023,11:00,10266.94,10273.94,10257.75,10260.13,22340
13-01-2023,11:15,10260.13,10264.17,10242.38,10243.42,30412
13-01-2023,11:30,10243.42,10251.9,10239.97,10248.56,16011
13-01-2023,11:45,10248.56,10264.05,10247.04,10262.44,44431
13-01-2023,12:00,10262.44,10274.17,10241.19,10248.98,15540
13-01-2023,12:15,10248.98,10265.49,10245.15,10258.02,19516
13-01-2023,12:30,10258.02,10260.31,10246.96,10253.58,34800
13-01-2023,12:45,10253.58,10270.74,10252.91,10266.97,24001
13-01-2023,13:00,10266.97,10269.53,10258.24,10263.45,22746
13-01-2023,13:15,10263.45,10287.92,10250.9,10286.92,18243
13-01-2023,13:30,10286.92,10288.07,10243.07,10250.84,29275
13-01-2023,13:45,10250.84,10253.53,10224.25,10234.42,1377
13-01-2023,14:00,10234.42,10239.8,10230.18,10235.59,25674
13-01-2023,14:15,10235.59,10236.61,10229.14,10234.11,36168
13-01-2023,14:30,10234.11,10236.49,10210.1,10214.8,33498
13-01-2023,14:45,10214.8,10222.21,10213.93,10221.05,43739
13-01-2023,15:00,10221.05,10221.73,10209.28,10215.67,34164
13-01-2023,15:15,10215.67,10217.59,10191.61,10197.49,43306
13-01-2023,15:30,10197.49,10200.19,10189.13,10192.54,44075
16-01-2023,09:15,10253.45,10260.89,10251.78,10256.65,6201
16-01-2023,09:30,10256.65,10277.02,10254.95,10258.89,33491
16-01-2023,09:45,10258.89,10268.29,10256.3,10265.53,47515
16-01-2023,10:00,10265.53,10270.41,10263.14,10268.05,22080
16-01-2023,10:15,10268.05,10279.76,10261.95,10276.53,8969
16-01-2023,10:30,10276.53,10280.21,10275.55,10279.56,22736
16-01-2023,10:45,10279.56,10283.26,10274.91,10280.34,24415
16-01-2023,11:00,10280.34,10300.08,10272.8,10296.53,29455
16-01-2023,11:15,10296.53,10306.91,10286.42,10301.94,11496
16-01-2023,11:30,10301.94,10308.33,10293.96,10298.69,44976
16-01-2023,11:45,10298.69,10312.4,10298.23,10307.65,1963
16-01-2023,12:00,10307.65,10318.73,10298.06,10300.64,5800
16-01-2023,12:15,10300.64,10302.66,10299.83,10300.08,48819
16-01-2023,12:30,10300.08,10306.9,10270.85,10275.57,31760
16-01-2023,12:45,10275.57,10280.37,10273.56,10274.36,11185
16-01-2023,13:00,10274.36,10281.87,10263.77,10279.16,33077
16-01-2023,13:15,10279.16,10280.86,10265.91,10270.06,47573
16-01-2023,13:30,10270.06,10289.09,10267.98,10285.07,24941
16-01-2023,13:45,10285.07,10287.73,10283.54,10285.28,9737
16-01-2023,14:00,10285.28,10289.77,10277.85,10289.73,5534
16-01-2023,14:15,10289.73,10290.81,10264.68,10265.34,47206
16-01-2023,14:30,10265.34,10268.63,10260.73,10262.05,47822
16-01-2023,14:45,10262.05,10263.96,10249.61,10263.23,5167
16-01-2023,15:00,10263.23,10268.68,10251.76,10252.57,7187
16-01-2023,15:15,10252.57,10254.98,10229.12,10231.11,13861
16-01-2023,15:30,10231.11,10235.32,10215.22,10221.94,33717
17-01-2023,09:15,10336.4,10362.27,10329.84,10358.83,48004
17-01-2023,09:30,10358.83,10366.05,10336.92,10341.45,3443
17-01-2023,09:45,10341.45,10342.93,10315.72,10322.83,27956
17-01-2023,10:00,10322.83,10338.01,10313.64,10329.65,6372
17-01-2023,10:15,10329.65,10336.48,10327.69,10331.87,2514
17-01-2023,10:30,10331.87,10337.67,10326.89,10334.98,25369
17-01-2023,10:45,10334.98,10340.07,10332.96,10338.67,45190
17-01-2023,11:00,10338.67,10348.34,10331.71,10346.64,27985
17-01-2023,11:15,10346.64,10363.74,10344.84,10362.67,1789
17-01-2023,11:30,10362.67,10363.57,10337.21,10342.34,31141
17-01-2023,11:45,10342.34,10343.37,10337.47,10339.9,46974
17-01-2023,12:00,10339.9,10346.22,10324.44,10328.47,3531
17-01-2023,12:15,10328.47,10341.99,10322.48,10341.69,8988
17-01-2023,12:30,10341.69,10342.47,10332.54,10338.22,16818
17-01-2023,12:45,10338.22,10347.74,10326.07,10343.38,42577
17-01-2023,13:00,10343.38,10343.78,10334.3,10340.61,46045
17-01-2023,13:15,10340.61,10346.54,10328.97,10346.13,4285
17-01-2023,13:30,10346.13,10353.69,10338.94,10343.43,39885
17-01-2023,13:45,10343.43,10352.06,10338.75,10345.9,9217
17-01-2023,14:00,10345.9,10350.73,10337.94,10341.19,22266
17-01-2023,14:15,10341.19,10349.04,10335.15,10348.2,39060
17-01-2023,14:30,10348.2,10348.52,10336.76,10338.21,47961
17-01-2023,14:45,10338.21,10340.44,10320.1,10325.58,14333
17-01-2023,15:00,10325.58,10330.3,10324.34,10328.92,16170
17-01-2023,15:15,10328.92,10330.41,10326.73,10329.77,9853
17-01-2023,15:30,10329.77,10332.92,10322.74,10322.91,43040
18-01-2023,09:15,10415.22,10421.16,10399.26,10400.75,35647
18-01-2023,09:30,10400.75,10419.96,10399.37,10410.69,47615
18-01-2023,09:45,10410.69,10411.47,10405.2,10409.45,13266
18-01-2023,10:00,10409.45,10420.79,10391.99,10394.38,31562
18-01-2023,10:15,10394.38,10398.31,10389.17,10391.03,38942
18-01-2023,10:30,10391.03,10403.54,10375.47,10375.63,30471
18-01-2023,10:45,10375.63,10386.77,10372.3,10382.78,28542
18-01-2023,11:00,10382.78,10383.82,10358.34,10362.78,31515
18-01-2023,11:15,10362.78,10367.8,10340.63,10342.51,17249
18-01-2023,11:30,10342.51,10343.22,10331.35,10332.25,44491
18-01-2023,11:45,10332.25,10342.58,10329.97,10341.79,34401
18-01-2023,12:00,10341.79,10344.71,10330.13,10334.34,18749
18-01-2023,12:15,10334.34,10341.47,10330.73,10332.33,8329
18-01-2023,12:30,10332.33,10334.33,10305.52,10317.56,30672
18-01-2023,12:45,10317.56,10320.49,10306.72,10313.8,17883
18-01-2023,13:00,10313.8,10329.78,10307.82,10325.45,14186
18-01-2023,13:15,10325.45,10345.29,10324.11,10343.76,48667
18-01-2023,13:30,10343.76,10349.77,10334.96,10345.39,43227
18-01-2023,13:45,10345.39,10351.86,10336.3,10345.7,25604
18-01-2023,14:00,10345.7,10352.58,10343.4,10347.47,27349
18-01-2023,14:15,10347.47,10351.73,10314.19,10316.89,25833
18-01-2023,14:30,10316.89,10323.41,10279.17,10280.91,8812
18-01-2023,14:45,10280.91,10284.8,10266.93,10267.02,45286
18-01-2023,15:00,10267.02,10272.24,10245.33,10247.47,17990
18-01-2023,15:15,10247.47,10249.57,10230.45,10231.56,10952
18-01-2023,15:30,10231.56,10233.64,10214.95,10220.67,24717
19-01-2023,09:15,10233.36,10255.01,10233.07,10248.45,44110
19-01-2023,09:30,10248.45,10250.83,10239.32,10244.52,47271
19-01-2023,09:45,10244.52,10245.43,10241.53,10242.93,13130
19-01-2023,10:00,10242.93,10248.56,10223.59,10224.9,19249
19-01-2023,10:15,10224.9,10236,10223.59,10235.59,21665
19-01-2023,10:30,10235.59,10238.64,10225.53,10228.17,37220
19-01-2023,10:45,10228.17,10230.54,10215.46,10224.56,36909
19-01-2023,11:00,10224.56,10231.89,10214.21,10218.71,5642
19-01-2023,11:15,10218.71,10224.68,10207.65,10213.43,5078
19-01-2023,11:30,10213.43,10222.78,10202.78,10208.83,10954
19-01-2023,11:45,10208.83,10210.11,10186.76,10187.87,1814
19-01-2023,12:00,10187.87,10187.93,10177.7,10180.81,44350
19-01-2023,12:15,10180.81,10198.02,10173.9,10188.59,13256
19-01-2023,12:30,10188.59,10211.37,10181.63,10206.07,10269
19-01-2023,12:45,10206.07,10220.02,10200.66,10218.7,17580
19-01-2023,13:00,10218.7,10221.76,10216.8,10217.49,16811
19-01-2023,13:15,10217.49,10220.19,10214.02,10217.81,33949
19-01-2023,13:30,10217.81,10240.18,10209.97,10239.03,48317
19-01-2023,13:45,10239.03,10239.73,10227.84,10230.7,37398
19-01-2023,14:00,10230.7,10241.63,10223.44,10241.05,22156
19-01-2023,14:15,10241.05,10242.74,10211.47,10223.43,15678
19-01-2023,14:30,10223.43,10223.53,10186.66,10191.79,9143
19-01-2023,14:45,10191.79,10198.37,10183.27,10192.67,21022
19-01-2023,15:00,10192.67,10201.21,10191.77,10198.21,13956
19-01-2023,15:15,10198.21,10201.18,10197.96,10201.05,4627
19-01-2023,15:30,10201.05,10219.07,10198.34,10214.85,13380
20-01-2023,09:15,10258.36,10273.86,10256.01,10271.95,21564
20-01-2023,09:30,10271.95,10287.93,10271.44,10286.76,2271
20-01-2023,09:45,10286.76,10293.28,10266.16,10274.48,38820
20-01-2023,10:00,10274.48,10282.35,10265.9,10271.83,12266
20-01-2023,10:15,10271.83,10274.34,10253.78,10258.69,28859
20-01-2023,10:30,10258.69,10281.18,10254.94,10272.13,27193
20-01-2023,10:45,10272.13,10277.68,10270.39,10275.81,15880
20-01-2023,11:00,10275.81,10304.53,10270.63,10295.37,21116
20-01-2023,11:15,10295.37,10316.34,10295.27,10313.38,5683
20-01-2023,11:30,10313.38,10335.91,10308.96,10331.81,31990
20-01-2023,11:45,10331.81,10338.96,10327.96,10331.07,5483
20-01-2023,12:00,10331.07,10333.98,10320.38,10322.86,36175
20-01-2023,12:15,10322.86,10342.42,10322.54,10332.61,45776
20-01-2023,12:30,10332.61,10342.83,10329.08,10342.54,42930
20-01-2023,12:45,10342.54,10344.29,10320.51,10324.02,22603
20-01-2023,13:00,10324.02,10338.04,10322.01,10324.75,15903
20-01-2023,13:15,10324.75,10341.37,10321.04,10338.38,46570
20-01-2023,13:30,10338.38,10343.74,10328.41,10331.67,6838
20-01-2023,13:45,10331.67,10335.76,10323.7,10325.4,8992
20-01-2023,14:00,10325.4,10330.39,10303.87,10303.91,22004
20-01-2023,14:15,10303.91,10312.52,10300.29,10309.5,30962
20-01-2023,14:30,10309.5,10315.84,10291.27,10298.27,43048
20-01-2023,14:45,10298.27,10299.32,10284.14,10290.1,36016
20-01-2023,15:00,10290.1,10291.51,10282.27,10283.3,28662
20-01-2023,15:15,10283.3,10300.93,10275.09,10300.14,9737
20-01-2023,15:30,10300.14,10315.34,10294.95,10313.76,16602
23-01-2023,09:15,10266.91,10295.92,10260.4,10292.06,35996
23-01-2023,09:30,10292.06,10298.88,10290.23,10294.15,30813
23-01-2023,09:45,10294.15,10310.7,10292.84,10303.34,14499
23-01-2023,10:00,10303.34,10308.17,10288.74,10291.46,5466
23-01-2023,10:15,10291.46,10293.04,10271.39,10279.08,12782
23-01-2023,10:30,10279.08,10288.79,10271.33,10273.23,45301
23-01-2023,10:45,10273.23,10274.36,10256.05,10260.32,31706
23-01-2023,11:00,10260.32,10264.3,10252.98,10254.79,37511
23-01-2023,11:15,10254.79,10263.65,10242.03,10251.13,7469
23-01-2023,11:30,10251.13,10266.41,10240.26,10240.48,27214
23-01-2023,11:45,10240.48,10242.69,10235,10240.67,41085
23-01-2023,12:00,10240.67,10273.56,10239.49,10266.99,9268
23-01-2023,12:15,10266.99,10269.18,10254.1,10261,32196
23-01-2023,12:30,10261,10264.44,10246.46,10251.41,7349
23-01-2023,12:45,10251.41,10252.46,10247.26,10250.05,3370
23-01-2023,13:00,10250.05,10252.87,10241.56,10242.73,41153
23-01-2023,13:15,10242.73,10243.66,10234.89,10236.8,25781
23-01-2023,13:30,10236.8,10238.83,10231.88,10235.45,49833
23-01-2023,13:45,10235.45,10238.05,10219.75,10229.44,36242
23-01-2023,14:00,10229.44,10243.63,10223.34,10235.59,7108
23-01-2023,14:15,10235.59,10239.74,10216.37,10228.46,8709
